"alpha","N","n","S","S_size","sign","exponent"
1,12,0,"{1;3;4;7;9;12}",6,1,36
1,12,0,"{1;3;4;7;10;11}",6,1,36
1,12,0,"{1;3;4;7;10;12}",6,1,37
1,12,0,"{1;3;4;7;11;12}",6,1,38
1,12,0,"{1;3;4;8;9;10}",6,1,35
1,12,0,"{1;3;4;8;9;11}",6,1,36
1,12,0,"{1;3;4;8;9;12}",6,1,37
1,12,0,"{1;3;4;8;10;11}",6,1,37
1,12,0,"{1;3;4;8;10;12}",6,1,38
1,12,0,"{1;3;4;8;11;12}",6,1,39
1,12,0,"{1;3;4;9;10;11}",6,1,38
1,12,0,"{1;3;4;9;10;12}",6,1,39
1,12,0,"{1;3;4;9;11;12}",6,1,40
1,12,0,"{1;3;5;6;7;8}",6,1,30
1,12,0,"{1;3;5;6;7;9}",6,1,31
1,12,0,"{1;3;5;6;7;10}",6,1,32
1,12,0,"{1;3;5;6;7;11}",6,1,33
1,12,0,"{1;3;5;6;7;12}",6,1,34
1,12,0,"{1;3;5;6;8;9}",6,1,32
1,12,0,"{1;3;5;6;8;10}",6,1,33
1,12,0,"{1;3;5;6;8;11}",6,1,34
1,12,0,"{1;3;5;6;8;12}",6,1,35
1,12,0,"{1;3;5;6;9;10}",6,1,34
1,12,0,"{1;3;5;6;9;11}",6,1,35
1,12,0,"{1;3;5;6;9;12}",6,1,36
1,12,0,"{1;3;5;6;10;11}",6,1,36
1,12,0,"{1;3;5;6;10;12}",6,1,37
1,12,0,"{1;3;5;6;11;12}",6,1,38
1,12,0,"{1;3;5;7;8;9}",6,1,33
1,12,0,"{1;3;5;7;8;10}",6,1,34
1,12,0,"{1;3;5;7;8;11}",6,1,35
1,12,0,"{1;3;5;7;8;12}",6,1,36
1,12,0,"{1;3;5;7;9;10}",6,1,35
1,12,0,"{1;3;5;7;9;11}",6,1,36
1,12,0,"{1;3;5;7;9;12}",6,1,37
1,12,0,"{1;3;5;7;10;11}",6,1,37
1,12,0,"{1;3;5;7;10;12}",6,1,38
1,12,0,"{1;3;5;7;11;12}",6,1,39
1,12,0,"{1;3;5;8;9;10}",6,1,36
1,12,0,"{1;3;5;8;9;11}",6,1,37
1,12,0,"{1;3;5;8;9;12}",6,1,38
1,12,0,"{1;3;5;8;10;11}",6,1,38
1,12,0,"{1;3;5;8;10;12}",6,1,39
1,12,0,"{1;3;5;8;11;12}",6,1,40
1,12,0,"{1;3;5;9;10;11}",6,1,39
1,12,0,"{1;3;5;9;10;12}",6,1,40
1,12,0,"{1;3;6;7;8;9}",6,1,34
1,12,0,"{1;3;6;7;8;10}",6,1,35
1,12,0,"{1;3;6;7;8;11}",6,1,36
1,12,0,"{1;3;6;7;8;12}",6,1,37
1,12,0,"{1;3;6;7;9;10}",6,1,36
1,12,0,"{1;3;6;7;9;11}",6,1,37
1,12,0,"{1;3;6;7;9;12}",6,1,38
1,12,0,"{1;3;6;7;10;11}",6,1,38
1,12,0,"{1;3;6;7;10;12}",6,1,39
1,12,0,"{1;3;6;7;11;12}",6,1,40
1,12,0,"{1;3;6;8;9;10}",6,1,37
1,12,0,"{1;3;6;8;9;11}",6,1,38
1,12,0,"{1;3;6;8;9;12}",6,1,39
1,12,0,"{1;3;6;8;10;11}",6,1,39
1,12,0,"{1;3;6;8;10;12}",6,1,40
1,12,0,"{1;3;6;9;10;11}",6,1,40
1,12,0,"{1;3;7;8;9;10}",6,1,38
1,12,0,"{1;3;7;8;9;11}",6,1,39
1,12,0,"{1;3;7;8;9;12}",6,1,40
1,12,0,"{1;3;7;8;10;11}",6,1,40
1,12,0,"{1;4;5;6;7;8}",6,1,31
1,12,0,"{1;4;5;6;7;9}",6,1,32
1,12,0,"{1;4;5;6;7;10}",6,1,33
1,12,0,"{1;4;5;6;7;11}",6,1,34
1,12,0,"{1;4;5;6;7;12}",6,1,35
1,12,0,"{1;4;5;6;8;9}",6,1,33
1,12,0,"{1;4;5;6;8;10}",6,1,34
1,12,0,"{1;4;5;6;8;11}",6,1,35
1,12,0,"{1;4;5;6;8;12}",6,1,36
1,12,0,"{1;4;5;6;9;10}",6,1,35
1,12,0,"{1;4;5;6;9;11}",6,1,36
1,12,0,"{1;4;5;6;9;12}",6,1,37
1,12,0,"{1;4;5;6;10;11}",6,1,37
1,12,0,"{1;4;5;6;10;12}",6,1,38
1,12,0,"{1;4;5;6;11;12}",6,1,39
1,12,0,"{1;4;5;7;8;9}",6,1,34
1,12,0,"{1;4;5;7;8;10}",6,1,35
1,12,0,"{1;4;5;7;8;11}",6,1,36
1,12,0,"{1;4;5;7;8;12}",6,1,37
1,12,0,"{1;4;5;7;9;10}",6,1,36
1,12,0,"{1;4;5;7;9;11}",6,1,37
1,12,0,"{1;4;5;7;9;12}",6,1,38
1,12,0,"{1;4;5;7;10;11}",6,1,38
1,12,0,"{1;4;5;7;10;12}",6,1,39
1,12,0,"{1;4;5;7;11;12}",6,1,40
1,12,0,"{1;4;5;8;9;10}",6,1,37
1,12,0,"{1;4;5;8;9;11}",6,1,38
1,12,0,"{1;4;5;8;9;12}",6,1,39
1,12,0,"{1;4;5;8;10;11}",6,1,39
1,12,0,"{1;4;5;8;10;12}",6,1,40
1,12,0,"{1;4;5;9;10;11}",6,1,40
1,12,0,"{1;4;6;7;8;9}",6,1,35
1,12,0,"{1;4;6;7;8;10}",6,1,36
1,12,0,"{1;4;6;7;8;11}",6,1,37
1,12,0,"{1;4;6;7;8;12}",6,1,38
1,12,0,"{1;4;6;7;9;10}",6,1,37
1,12,0,"{1;4;6;7;9;11}",6,1,38
1,12,0,"{1;4;6;7;9;12}",6,1,39
1,12,0,"{1;4;6;7;10;11}",6,1,39
1,12,0,"{1;4;6;7;10;12}",6,1,40
1,12,0,"{1;4;6;8;9;10}",6,1,38
1,12,0,"{1;4;6;8;9;11}",6,1,39
1,12,0,"{1;4;6;8;9;12}",6,1,40
1,12,0,"{1;4;6;8;10;11}",6,1,40
1,12,0,"{1;4;7;8;9;10}",6,1,39
1,12,0,"{1;4;7;8;9;11}",6,1,40
1,12,0,"{1;5;6;7;8;9}",6,1,36
1,12,0,"{1;5;6;7;8;10}",6,1,37
1,12,0,"{1;5;6;7;8;11}",6,1,38
1,12,0,"{1;5;6;7;8;12}",6,1,39
1,12,0,"{1;5;6;7;9;10}",6,1,38
1,12,0,"{1;5;6;7;9;11}",6,1,39
1,12,0,"{1;5;6;7;9;12}",6,1,40
1,12,0,"{1;5;6;7;10;11}",6,1,40
1,12,0,"{1;5;6;8;9;10}",6,1,39
1,12,0,"{1;5;6;8;9;11}",6,1,40
1,12,0,"{1;5;7;8;9;10}",6,1,40
1,12,0,"{2;3;4;5;6;7}",6,1,27
1,12,0,"{2;3;4;5;6;8}",6,1,28
1,12,0,"{2;3;4;5;6;9}",6,1,29
1,12,0,"{2;3;4;5;6;10}",6,1,30
1,12,0,"{2;3;4;5;6;11}",6,1,31
1,12,0,"{2;3;4;5;6;12}",6,1,32
1,12,0,"{2;3;4;5;7;8}",6,1,29
1,12,0,"{2;3;4;5;7;9}",6,1,30
1,12,0,"{2;3;4;5;7;10}",6,1,31
1,12,0,"{2;3;4;5;7;11}",6,1,32
1,12,0,"{2;3;4;5;7;12}",6,1,33
1,12,0,"{2;3;4;5;8;9}",6,1,31
1,12,0,"{2;3;4;5;8;10}",6,1,32
1,12,0,"{2;3;4;5;8;11}",6,1,33
1,12,0,"{2;3;4;5;8;12}",6,1,34
1,12,0,"{2;3;4;5;9;10}",6,1,33
1,12,0,"{2;3;4;5;9;11}",6,1,34
1,12,0,"{2;3;4;5;9;12}",6,1,35
1,12,0,"{2;3;4;5;10;11}",6,1,35
1,12,0,"{2;3;4;5;10;12}",6,1,36
1,12,0,"{2;3;4;5;11;12}",6,1,37
1,12,0,"{2;3;4;6;7;8}",6,1,30
1,12,0,"{2;3;4;6;7;9}",6,1,31
1,12,0,"{2;3;4;6;7;10}",6,1,32
1,12,0,"{2;3;4;6;7;11}",6,1,33
1,12,0,"{2;3;4;6;7;12}",6,1,34
1,12,0,"{2;3;4;6;8;9}",6,1,32
1,12,0,"{2;3;4;6;8;10}",6,1,33
1,12,0,"{2;3;4;6;8;11}",6,1,34
1,12,0,"{2;3;4;6;8;12}",6,1,35
1,12,0,"{2;3;4;6;9;10}",6,1,34
1,12,0,"{2;3;4;6;9;11}",6,1,35
1,12,0,"{2;3;4;6;9;12}",6,1,36
1,12,0,"{2;3;4;6;10;11}",6,1,36
1,12,0,"{2;3;4;6;10;12}",6,1,37
1,12,0,"{2;3;4;6;11;12}",6,1,38
1,12,0,"{2;3;4;7;8;9}",6,1,33
1,12,0,"{2;3;4;7;8;10}",6,1,34
1,12,0,"{2;3;4;7;8;11}",6,1,35
1,12,0,"{2;3;4;7;8;12}",6,1,36
1,12,0,"{2;3;4;7;9;10}",6,1,35
1,12,0,"{2;3;4;7;9;11}",6,1,36
1,12,0,"{2;3;4;7;9;12}",6,1,37
1,12,0,"{2;3;4;7;10;11}",6,1,37
1,12,0,"{2;3;4;7;10;12}",6,1,38
1,12,0,"{2;3;4;7;11;12}",6,1,39
1,12,0,"{2;3;4;8;9;10}",6,1,36
1,12,0,"{2;3;4;8;9;11}",6,1,37
1,12,0,"{2;3;4;8;9;12}",6,1,38
1,12,0,"{2;3;4;8;10;11}",6,1,38
1,12,0,"{2;3;4;8;10;12}",6,1,39
1,12,0,"{2;3;4;8;11;12}",6,1,40
1,12,0,"{2;3;4;9;10;11}",6,1,39
1,12,0,"{2;3;4;9;10;12}",6,1,40
1,12,0,"{2;3;5;6;7;8}",6,1,31
1,12,0,"{2;3;5;6;7;9}",6,1,32
1,12,0,"{2;3;5;6;7;10}",6,1,33
1,12,0,"{2;3;5;6;7;11}",6,1,34
1,12,0,"{2;3;5;6;7;12}",6,1,35
1,12,0,"{2;3;5;6;8;9}",6,1,33
1,12,0,"{2;3;5;6;8;10}",6,1,34
1,12,0,"{2;3;5;6;8;11}",6,1,35
1,12,0,"{2;3;5;6;8;12}",6,1,36
1,12,0,"{2;3;5;6;9;10}",6,1,35
1,12,0,"{2;3;5;6;9;11}",6,1,36
1,12,0,"{2;3;5;6;9;12}",6,1,37
1,12,0,"{2;3;5;6;10;11}",6,1,37
1,12,0,"{2;3;5;6;10;12}",6,1,38
1,12,0,"{2;3;5;6;11;12}",6,1,39
1,12,0,"{2;3;5;7;8;9}",6,1,34
1,12,0,"{2;3;5;7;8;10}",6,1,35
1,12,0,"{2;3;5;7;8;11}",6,1,36
1,12,0,"{2;3;5;7;8;12}",6,1,37
1,12,0,"{2;3;5;7;9;10}",6,1,36
1,12,0,"{2;3;5;7;9;11}",6,1,37
1,12,0,"{2;3;5;7;9;12}",6,1,38
1,12,0,"{2;3;5;7;10;11}",6,1,38
1,12,0,"{2;3;5;7;10;12}",6,1,39
1,12,0,"{2;3;5;7;11;12}",6,1,40
1,12,0,"{2;3;5;8;9;10}",6,1,37
1,12,0,"{2;3;5;8;9;11}",6,1,38
1,12,0,"{2;3;5;8;9;12}",6,1,39
1,12,0,"{2;3;5;8;10;11}",6,1,39
1,12,0,"{2;3;5;8;10;12}",6,1,40
1,12,0,"{2;3;5;9;10;11}",6,1,40
1,12,0,"{2;3;6;7;8;9}",6,1,35
1,12,0,"{2;3;6;7;8;10}",6,1,36
1,12,0,"{2;3;6;7;8;11}",6,1,37
1,12,0,"{2;3;6;7;8;12}",6,1,38
1,12,0,"{2;3;6;7;9;10}",6,1,37
1,12,0,"{2;3;6;7;9;11}",6,1,38
1,12,0,"{2;3;6;7;9;12}",6,1,39
1,12,0,"{2;3;6;7;10;11}",6,1,39
1,12,0,"{2;3;6;7;10;12}",6,1,40
1,12,0,"{2;3;6;8;9;10}",6,1,38
1,12,0,"{2;3;6;8;9;11}",6,1,39
1,12,0,"{2;3;6;8;9;12}",6,1,40
1,12,0,"{2;3;6;8;10;11}",6,1,40
1,12,0,"{2;3;7;8;9;10}",6,1,39
1,12,0,"{2;3;7;8;9;11}",6,1,40
1,12,0,"{2;4;5;6;7;8}",6,1,32
1,12,0,"{2;4;5;6;7;9}",6,1,33
1,12,0,"{2;4;5;6;7;10}",6,1,34
1,12,0,"{2;4;5;6;7;11}",6,1,35
1,12,0,"{2;4;5;6;7;12}",6,1,36
1,12,0,"{2;4;5;6;8;9}",6,1,34
1,12,0,"{2;4;5;6;8;10}",6,1,35
1,12,0,"{2;4;5;6;8;11}",6,1,36
1,12,0,"{2;4;5;6;8;12}",6,1,37
1,12,0,"{2;4;5;6;9;10}",6,1,36
1,12,0,"{2;4;5;6;9;11}",6,1,37
1,12,0,"{2;4;5;6;9;12}",6,1,38
1,12,0,"{2;4;5;6;10;11}",6,1,38
1,12,0,"{2;4;5;6;10;12}",6,1,39
1,12,0,"{2;4;5;6;11;12}",6,1,40
1,12,0,"{2;4;5;7;8;9}",6,1,35
1,12,0,"{2;4;5;7;8;10}",6,1,36
1,12,0,"{2;4;5;7;8;11}",6,1,37
1,12,0,"{2;4;5;7;8;12}",6,1,38
1,12,0,"{2;4;5;7;9;10}",6,1,37
1,12,0,"{2;4;5;7;9;11}",6,1,38
1,12,0,"{2;4;5;7;9;12}",6,1,39
1,12,0,"{2;4;5;7;10;11}",6,1,39
1,12,0,"{2;4;5;7;10;12}",6,1,40
1,12,0,"{2;4;5;8;9;10}",6,1,38
1,12,0,"{2;4;5;8;9;11}",6,1,39
1,12,0,"{2;4;5;8;9;12}",6,1,40
1,12,0,"{2;4;5;8;10;11}",6,1,40
1,12,0,"{2;4;6;7;8;9}",6,1,36
1,12,0,"{2;4;6;7;8;10}",6,1,37
1,12,0,"{2;4;6;7;8;11}",6,1,38
1,12,0,"{2;4;6;7;8;12}",6,1,39
1,12,0,"{2;4;6;7;9;10}",6,1,38
1,12,0,"{2;4;6;7;9;11}",6,1,39
1,12,0,"{2;4;6;7;9;12}",6,1,40
1,12,0,"{2;4;6;7;10;11}",6,1,40
1,12,0,"{2;4;6;8;9;10}",6,1,39
1,12,0,"{2;4;6;8;9;11}",6,1,40
1,12,0,"{2;4;7;8;9;10}",6,1,40
1,12,0,"{2;5;6;7;8;9}",6,1,37
1,12,0,"{2;5;6;7;8;10}",6,1,38
1,12,0,"{2;5;6;7;8;11}",6,1,39
1,12,0,"{2;5;6;7;8;12}",6,1,40
1,12,0,"{2;5;6;7;9;10}",6,1,39
1,12,0,"{2;5;6;7;9;11}",6,1,40
1,12,0,"{2;5;6;8;9;10}",6,1,40
1,12,0,"{3;4;5;6;7;8}",6,1,33
1,12,0,"{3;4;5;6;7;9}",6,1,34
1,12,0,"{3;4;5;6;7;10}",6,1,35
1,12,0,"{3;4;5;6;7;11}",6,1,36
1,12,0,"{3;4;5;6;7;12}",6,1,37
1,12,0,"{3;4;5;6;8;9}",6,1,35
1,12,0,"{3;4;5;6;8;10}",6,1,36
1,12,0,"{3;4;5;6;8;11}",6,1,37
1,12,0,"{3;4;5;6;8;12}",6,1,38
1,12,0,"{3;4;5;6;9;10}",6,1,37
1,12,0,"{3;4;5;6;9;11}",6,1,38
1,12,0,"{3;4;5;6;9;12}",6,1,39
1,12,0,"{3;4;5;6;10;11}",6,1,39
1,12,0,"{3;4;5;6;10;12}",6,1,40
1,12,0,"{3;4;5;7;8;9}",6,1,36
1,12,0,"{3;4;5;7;8;10}",6,1,37
1,12,0,"{3;4;5;7;8;11}",6,1,38
1,12,0,"{3;4;5;7;8;12}",6,1,39
1,12,0,"{3;4;5;7;9;10}",6,1,38
1,12,0,"{3;4;5;7;9;11}",6,1,39
1,12,0,"{3;4;5;7;9;12}",6,1,40
1,12,0,"{3;4;5;7;10;11}",6,1,40
1,12,0,"{3;4;5;8;9;10}",6,1,39
1,12,0,"{3;4;5;8;9;11}",6,1,40
1,12,0,"{3;4;6;7;8;9}",6,1,37
1,12,0,"{3;4;6;7;8;10}",6,1,38
1,12,0,"{3;4;6;7;8;11}",6,1,39
1,12,0,"{3;4;6;7;8;12}",6,1,40
1,12,0,"{3;4;6;7;9;10}",6,1,39
1,12,0,"{3;4;6;7;9;11}",6,1,40
1,12,0,"{3;4;6;8;9;10}",6,1,40
1,12,0,"{3;5;6;7;8;9}",6,1,38
1,12,0,"{3;5;6;7;8;10}",6,1,39
1,12,0,"{3;5;6;7;8;11}",6,1,40
1,12,0,"{3;5;6;7;9;10}",6,1,40
1,12,0,"{4;5;6;7;8;9}",6,1,39
1,12,0,"{4;5;6;7;8;10}",6,1,40
1,12,0,"{1;2;3;4;5;6;7}",7,-1,28
1,12,0,"{1;2;3;4;5;6;8}",7,-1,29
1,12,0,"{1;2;3;4;5;6;9}",7,-1,30
1,12,0,"{1;2;3;4;5;6;10}",7,-1,31
1,12,0,"{1;2;3;4;5;6;11}",7,-1,32
1,12,0,"{1;2;3;4;5;6;12}",7,-1,33
1,12,0,"{1;2;3;4;5;7;8}",7,-1,30
1,12,0,"{1;2;3;4;5;7;9}",7,-1,31
1,12,0,"{1;2;3;4;5;7;10}",7,-1,32
1,12,0,"{1;2;3;4;5;7;11}",7,-1,33
1,12,0,"{1;2;3;4;5;7;12}",7,-1,34
1,12,0,"{1;2;3;4;5;8;9}",7,-1,32
1,12,0,"{1;2;3;4;5;8;10}",7,-1,33
1,12,0,"{1;2;3;4;5;8;11}",7,-1,34
1,12,0,"{1;2;3;4;5;8;12}",7,-1,35
1,12,0,"{1;2;3;4;5;9;10}",7,-1,34
1,12,0,"{1;2;3;4;5;9;11}",7,-1,35
1,12,0,"{1;2;3;4;5;9;12}",7,-1,36
1,12,0,"{1;2;3;4;5;10;11}",7,-1,36
1,12,0,"{1;2;3;4;5;10;12}",7,-1,37
1,12,0,"{1;2;3;4;5;11;12}",7,-1,38
1,12,0,"{1;2;3;4;6;7;8}",7,-1,31
1,12,0,"{1;2;3;4;6;7;9}",7,-1,32
1,12,0,"{1;2;3;4;6;7;10}",7,-1,33
1,12,0,"{1;2;3;4;6;7;11}",7,-1,34
1,12,0,"{1;2;3;4;6;7;12}",7,-1,35
1,12,0,"{1;2;3;4;6;8;9}",7,-1,33
1,12,0,"{1;2;3;4;6;8;10}",7,-1,34
1,12,0,"{1;2;3;4;6;8;11}",7,-1,35
1,12,0,"{1;2;3;4;6;8;12}",7,-1,36
1,12,0,"{1;2;3;4;6;9;10}",7,-1,35
1,12,0,"{1;2;3;4;6;9;11}",7,-1,36
1,12,0,"{1;2;3;4;6;9;12}",7,-1,37
1,12,0,"{1;2;3;4;6;10;11}",7,-1,37
1,12,0,"{1;2;3;4;6;10;12}",7,-1,38
1,12,0,"{1;2;3;4;6;11;12}",7,-1,39
1,12,0,"{1;2;3;4;7;8;9}",7,-1,34
1,12,0,"{1;2;3;4;7;8;10}",7,-1,35
1,12,0,"{1;2;3;4;7;8;11}",7,-1,36
1,12,0,"{1;2;3;4;7;8;12}",7,-1,37
1,12,0,"{1;2;3;4;7;9;10}",7,-1,36
1,12,0,"{1;2;3;4;7;9;11}",7,-1,37
1,12,0,"{1;2;3;4;7;9;12}",7,-1,38
1,12,0,"{1;2;3;4;7;10;11}",7,-1,38
1,12,0,"{1;2;3;4;7;10;12}",7,-1,39
1,12,0,"{1;2;3;4;7;11;12}",7,-1,40
1,12,0,"{1;2;3;4;8;9;10}",7,-1,37
1,12,0,"{1;2;3;4;8;9;11}",7,-1,38
1,12,0,"{1;2;3;4;8;9;12}",7,-1,39
1,12,0,"{1;2;3;4;8;10;11}",7,-1,39
1,12,0,"{1;2;3;4;8;10;12}",7,-1,40
1,12,0,"{1;2;3;4;9;10;11}",7,-1,40
1,12,0,"{1;2;3;5;6;7;8}",7,-1,32
1,12,0,"{1;2;3;5;6;7;9}",7,-1,33
1,12,0,"{1;2;3;5;6;7;10}",7,-1,34
1,12,0,"{1;2;3;5;6;7;11}",7,-1,35
1,12,0,"{1;2;3;5;6;7;12}",7,-1,36
1,12,0,"{1;2;3;5;6;8;9}",7,-1,34
1,12,0,"{1;2;3;5;6;8;10}",7,-1,35
1,12,0,"{1;2;3;5;6;8;11}",7,-1,36
1,12,0,"{1;2;3;5;6;8;12}",7,-1,37
1,12,0,"{1;2;3;5;6;9;10}",7,-1,36
1,12,0,"{1;2;3;5;6;9;11}",7,-1,37
1,12,0,"{1;2;3;5;6;9;12}",7,-1,38
1,12,0,"{1;2;3;5;6;10;11}",7,-1,38
1,12,0,"{1;2;3;5;6;10;12}",7,-1,39
1,12,0,"{1;2;3;5;6;11;12}",7,-1,40
1,12,0,"{1;2;3;5;7;8;9}",7,-1,35
1,12,0,"{1;2;3;5;7;8;10}",7,-1,36
1,12,0,"{1;2;3;5;7;8;11}",7,-1,37
1,12,0,"{1;2;3;5;7;8;12}",7,-1,38
1,12,0,"{1;2;3;5;7;9;10}",7,-1,37
1,12,0,"{1;2;3;5;7;9;11}",7,-1,38
1,12,0,"{1;2;3;5;7;9;12}",7,-1,39
1,12,0,"{1;2;3;5;7;10;11}",7,-1,39
1,12,0,"{1;2;3;5;7;10;12}",7,-1,40
1,12,0,"{1;2;3;5;8;9;10}",7,-1,38
1,12,0,"{1;2;3;5;8;9;11}",7,-1,39
1,12,0,"{1;2;3;5;8;9;12}",7,-1,40
1,12,0,"{1;2;3;5;8;10;11}",7,-1,40
1,12,0,"{1;2;3;6;7;8;9}",7,-1,36
1,12,0,"{1;2;3;6;7;8;10}",7,-1,37
1,12,0,"{1;2;3;6;7;8;11}",7,-1,38
1,12,0,"{1;2;3;6;7;8;12}",7,-1,39
1,12,0,"{1;2;3;6;7;9;10}",7,-1,38
1,12,0,"{1;2;3;6;7;9;11}",7,-1,39
1,12,0,"{1;2;3;6;7;9;12}",7,-1,40
1,12,0,"{1;2;3;6;7;10;11}",7,-1,40
1,12,0,"{1;2;3;6;8;9;10}",7,-1,39
1,12,0,"{1;2;3;6;8;9;11}",7,-1,40
1,12,0,"{1;2;3;7;8;9;10}",7,-1,40
1,12,0,"{1;2;4;5;6;7;8}",7,-1,33
1,12,0,"{1;2;4;5;6;7;9}",7,-1,34
1,12,0,"{1;2;4;5;6;7;10}",7,-1,35
1,12,0,"{1;2;4;5;6;7;11}",7,-1,36
1,12,0,"{1;2;4;5;6;7;12}",7,-1,37
1,12,0,"{1;2;4;5;6;8;9}",7,-1,35
1,12,0,"{1;2;4;5;6;8;10}",7,-1,36
1,12,0,"{1;2;4;5;6;8;11}",7,-1,37
1,12,0,"{1;2;4;5;6;8;12}",7,-1,38
1,12,0,"{1;2;4;5;6;9;10}",7,-1,37
1,12,0,"{1;2;4;5;6;9;11}",7,-1,38
1,12,0,"{1;2;4;5;6;9;12}",7,-1,39
1,12,0,"{1;2;4;5;6;10;11}",7,-1,39
1,12,0,"{1;2;4;5;6;10;12}",7,-1,40
1,12,0,"{1;2;4;5;7;8;9}",7,-1,36
1,12,0,"{1;2;4;5;7;8;10}",7,-1,37
1,12,0,"{1;2;4;5;7;8;11}",7,-1,38
1,12,0,"{1;2;4;5;7;8;12}",7,-1,39
1,12,0,"{1;2;4;5;7;9;10}",7,-1,38
1,12,0,"{1;2;4;5;7;9;11}",7,-1,39
1,12,0,"{1;2;4;5;7;9;12}",7,-1,40
1,12,0,"{1;2;4;5;7;10;11}",7,-1,40
1,12,0,"{1;2;4;5;8;9;10}",7,-1,39
1,12,0,"{1;2;4;5;8;9;11}",7,-1,40
1,12,0,"{1;2;4;6;7;8;9}",7,-1,37
1,12,0,"{1;2;4;6;7;8;10}",7,-1,38
1,12,0,"{1;2;4;6;7;8;11}",7,-1,39
1,12,0,"{1;2;4;6;7;8;12}",7,-1,40
1,12,0,"{1;2;4;6;7;9;10}",7,-1,39
1,12,0,"{1;2;4;6;7;9;11}",7,-1,40
1,12,0,"{1;2;4;6;8;9;10}",7,-1,40
1,12,0,"{1;2;5;6;7;8;9}",7,-1,38
1,12,0,"{1;2;5;6;7;8;10}",7,-1,39
1,12,0,"{1;2;5;6;7;8;11}",7,-1,40
1,12,0,"{1;2;5;6;7;9;10}",7,-1,40
1,12,0,"{1;3;4;5;6;7;8}",7,-1,34
1,12,0,"{1;3;4;5;6;7;9}",7,-1,35
1,12,0,"{1;3;4;5;6;7;10}",7,-1,36
1,12,0,"{1;3;4;5;6;7;11}",7,-1,37
1,12,0,"{1;3;4;5;6;7;12}",7,-1,38
1,12,0,"{1;3;4;5;6;8;9}",7,-1,36
1,12,0,"{1;3;4;5;6;8;10}",7,-1,37
1,12,0,"{1;3;4;5;6;8;11}",7,-1,38
1,12,0,"{1;3;4;5;6;8;12}",7,-1,39
1,12,0,"{1;3;4;5;6;9;10}",7,-1,38
1,12,0,"{1;3;4;5;6;9;11}",7,-1,39
1,12,0,"{1;3;4;5;6;9;12}",7,-1,40
1,12,0,"{1;3;4;5;6;10;11}",7,-1,40
1,12,0,"{1;3;4;5;7;8;9}",7,-1,37
1,12,0,"{1;3;4;5;7;8;10}",7,-1,38
1,12,0,"{1;3;4;5;7;8;11}",7,-1,39
1,12,0,"{1;3;4;5;7;8;12}",7,-1,40
1,12,0,"{1;3;4;5;7;9;10}",7,-1,39
1,12,0,"{1;3;4;5;7;9;11}",7,-1,40
1,12,0,"{1;3;4;5;8;9;10}",7,-1,40
1,12,0,"{1;3;4;6;7;8;9}",7,-1,38
1,12,0,"{1;3;4;6;7;8;10}",7,-1,39
1,12,0,"{1;3;4;6;7;8;11}",7,-1,40
1,12,0,"{1;3;4;6;7;9;10}",7,-1,40
1,12,0,"{1;3;5;6;7;8;9}",7,-1,39
1,12,0,"{1;3;5;6;7;8;10}",7,-1,40
1,12,0,"{1;4;5;6;7;8;9}",7,-1,40
1,12,0,"{2;3;4;5;6;7;8}",7,-1,35
1,12,0,"{2;3;4;5;6;7;9}",7,-1,36
1,12,0,"{2;3;4;5;6;7;10}",7,-1,37
1,12,0,"{2;3;4;5;6;7;11}",7,-1,38
1,12,0,"{2;3;4;5;6;7;12}",7,-1,39
1,12,0,"{2;3;4;5;6;8;9}",7,-1,37
1,12,0,"{2;3;4;5;6;8;10}",7,-1,38
1,12,0,"{2;3;4;5;6;8;11}",7,-1,39
1,12,0,"{2;3;4;5;6;8;12}",7,-1,40
1,12,0,"{2;3;4;5;6;9;10}",7,-1,39
1,12,0,"{2;3;4;5;6;9;11}",7,-1,40
1,12,0,"{2;3;4;5;7;8;9}",7,-1,38
1,12,0,"{2;3;4;5;7;8;10}",7,-1,39
1,12,0,"{2;3;4;5;7;8;11}",7,-1,40
1,12,0,"{2;3;4;5;7;9;10}",7,-1,40
1,12,0,"{2;3;4;6;7;8;9}",7,-1,39
1,12,0,"{2;3;4;6;7;8;10}",7,-1,40
1,12,0,"{2;3;5;6;7;8;9}",7,-1,40
1,12,0,"{1;2;3;4;5;6;7;8}",8,1,36
1,12,0,"{1;2;3;4;5;6;7;9}",8,1,37
1,12,0,"{1;2;3;4;5;6;7;10}",8,1,38
1,12,0,"{1;2;3;4;5;6;7;11}",8,1,39
1,12,0,"{1;2;3;4;5;6;7;12}",8,1,40
1,12,0,"{1;2;3;4;5;6;8;9}",8,1,38
1,12,0,"{1;2;3;4;5;6;8;10}",8,1,39
1,12,0,"{1;2;3;4;5;6;8;11}",8,1,40
1,12,0,"{1;2;3;4;5;6;9;10}",8,1,40
1,12,0,"{1;2;3;4;5;7;8;9}",8,1,39
1,12,0,"{1;2;3;4;5;7;8;10}",8,1,40
1,12,0,"{1;2;3;4;6;7;8;9}",8,1,40
1,12,1,"{}",0,1,2
1,12,1,"{2}",1,-1,4
1,12,1,"{3}",1,-1,5
1,12,1,"{4}",1,-1,6
1,12,1,"{5}",1,-1,7
1,12,1,"{6}",1,-1,8
1,12,1,"{7}",1,-1,9
1,12,1,"{8}",1,-1,10
1,12,1,"{9}",1,-1,11
1,12,1,"{10}",1,-1,12
1,12,1,"{11}",1,-1,13
